"mass","density","time","Dynamics"
0.952917660188539,3.50746109246137e-09,"begin","Observed"
0.962543091099534,3.93356560993484e-09,"begin","Observed"
0.97216852201053,4.41295881235059e-09,"begin","Observed"
0.981793952921525,4.95232024744264e-09,"begin","Observed"
0.99141938383252,5.55914703172257e-09,"begin","Observed"
1.00104481474352,6.24184929017421e-09,"begin","Observed"
1.01067024565451,7.00985597567209e-09,"begin","Observed"
1.02029567656551,7.87373208971732e-09,"begin","Observed"
1.0299211074765,8.84530841285595e-09,"begin","Observed"
1.0395465383875,9.93782494562111e-09,"begin","Observed"
1.04917196929849,1.11660893591983e-08,"begin","Observed"
1.05879740020949,1.25466518594087e-08,"begin","Observed"
1.06842283112048,1.4097997978175e-08,"begin","Observed"
1.07804826203148,1.58407609234726e-08,"begin","Observed"
1.08767369294247,1.77979552419566e-08,"begin","Observed"
1.09729912385347,1.99952336780094e-08,"begin","Observed"
1.10692455476446,2.24611692488641e-08,"begin","Observed"
1.11654998567546,2.52275646976555e-08,"begin","Observed"
1.12617541658646,2.83297916346055e-08,"begin","Observed"
1.13580084749745,3.18071618308666e-08,"begin","Observed"
1.14542627840845,3.57033332895668e-08,"begin","Observed"
1.15505170931944,4.00667538839675e-08,"begin","Observed"
1.16467714023044,4.49511455229285e-08,"begin","Observed"
1.17430257114143,5.04160319785424e-08,"begin","Observed"
1.18392800205243,5.65273136892072e-08,"begin","Observed"
1.19355343296342,6.33578930328148e-08,"begin","Observed"
1.20317886387442,7.09883537482363e-08,"begin","Observed"
1.21280429478541,7.95076983679228e-08,"begin","Observed"
1.22242972569641,8.90141477090145e-08,"begin","Observed"
1.2320551566074,9.96160066536106e-08,"begin","Observed"
1.2416805875184,1.11432600629304e-07,"begin","Observed"
1.25130601842939,1.24595287377153e-07,"begin","Observed"
1.26093144934039,1.39248548764112e-07,"begin","Observed"
1.27055688025139,1.55551167558655e-07,"begin","Observed"
1.28018231116238,1.73677494239717e-07,"begin","Observed"
1.28980774207338,1.93818809047791e-07,"begin","Observed"
1.29943317298437,2.16184784610619e-07,"begin","Observed"
1.30905860389537,2.41005054581509e-07,"begin","Observed"
1.31868403480636,2.68530893813172e-07,"begin","Observed"
1.32830946571736,2.99037015650817e-07,"begin","Observed"
1.33793489662835,3.32823491961894e-07,"begin","Observed"
1.34756032753935,3.70217801522755e-07,"begin","Observed"
1.35718575845034,4.11577012350998e-07,"begin","Observed"
1.36681118936134,4.57290103502528e-07,"begin","Observed"
1.37643662027233,5.07780431740383e-07,"begin","Observed"
1.38606205118333,5.63508348324066e-07,"begin","Observed"
1.39568748209432,6.24973970959219e-07,"begin","Observed"
1.40531291300532,6.9272011568358e-07,"begin","Observed"
1.41493834391632,7.67335393142028e-07,"begin","Observed"
1.42456377482731,8.49457473316377e-07,"begin","Observed"
1.43418920573831,9.39776522320419e-07,"begin","Observed"
1.4438146366493,1.03903881434258e-06,"begin","Observed"
1.4534400675603,1.1480505212135e-06,"begin","Observed"
1.46306549847129,1.26768168138943e-06,"begin","Observed"
1.47269092938229,1.39887034937032e-06,"begin","Observed"
1.48231636029328,1.5426269257106e-06,"begin","Observed"
1.49194179120428,1.70003866682609e-06,"begin","Observed"
1.50156722211527,1.87227437275056e-06,"begin","Observed"
1.51119265302627,2.06058924984601e-06,"begin","Observed"
1.52081808393726,2.2663299442196e-06,"begin","Observed"
1.53044351484826,2.49093974024617e-06,"begin","Observed"
1.54006894575925,2.73596391713623e-06,"begin","Observed"
1.54969437667025,3.00305525492485e-06,"begin","Observed"
1.55931980758125,3.29397967958752e-06,"begin","Observed"
1.56894523849224,3.61062203521529e-06,"begin","Observed"
1.57857066940324,3.95499196930517e-06,"begin","Observed"
1.58819610031423,4.32922991524602e-06,"begin","Observed"
1.59782153122523,4.73561315400868e-06,"begin","Observed"
