"matssname","source","biomass_ratio","Dynamics"
"bbs_rtrg_114_60","ratio_sim",0.488359851632699,"Abundance driven"
"bbs_rtrg_114_60","ratio_real",0.488359851632699,"Observed"
"bbs_rtrg_115_4","ratio_sim",1.52110413878995,"Abundance driven"
"bbs_rtrg_115_4","ratio_real",1.52110413878995,"Observed"
"bbs_rtrg_117_68","ratio_sim",1.3441795796869,"Abundance driven"
"bbs_rtrg_117_68","ratio_real",1.3441795796869,"Observed"
"bbs_rtrg_118_3","ratio_sim",1.62095570180415,"Abundance driven"
"bbs_rtrg_118_3","ratio_real",1.62095570180415,"Observed"
"bbs_rtrg_119_42","ratio_sim",0.58636395728308,"Abundance driven"
"bbs_rtrg_119_42","ratio_real",0.58636395728308,"Observed"
"bbs_rtrg_119_63","ratio_sim",0.781265517261538,"Abundance driven"
"bbs_rtrg_119_63","ratio_real",0.781265517261538,"Observed"
"bbs_rtrg_119_68","ratio_sim",0.755610128973868,"Abundance driven"
"bbs_rtrg_119_68","ratio_real",1.28060732965603,"Observed"
"bbs_rtrg_12_34","ratio_sim",0.531306898899816,"Abundance driven"
"bbs_rtrg_12_34","ratio_real",0.531306898899816,"Observed"
"bbs_rtrg_12_44","ratio_sim",0.536084122076662,"Abundance driven"
"bbs_rtrg_12_44","ratio_real",1.0663027088952,"Observed"
"bbs_rtrg_12_54","ratio_sim",1.55669245949786,"Abundance driven"
"bbs_rtrg_12_54","ratio_real",1.55669245949786,"Observed"
"bbs_rtrg_12_6","ratio_sim",0.539438921400962,"Abundance driven"
"bbs_rtrg_12_6","ratio_real",0.539438921400962,"Observed"
"bbs_rtrg_12_68","ratio_sim",0.355685871112178,"Abundance driven"
"bbs_rtrg_12_68","ratio_real",1.0981739295054,"Observed"
"bbs_rtrg_12_85","ratio_sim",0.567931144356388,"Abundance driven"
"bbs_rtrg_12_85","ratio_real",0.567931144356388,"Observed"
"bbs_rtrg_12_91","ratio_sim",0.633150046351393,"Abundance driven"
"bbs_rtrg_12_91","ratio_real",1.09599006095278,"Observed"
"bbs_rtrg_120_44","ratio_sim",0.478837956639988,"Abundance driven"
"bbs_rtrg_120_44","ratio_real",0.842615615856358,"Observed"
"bbs_rtrg_121_61","ratio_sim",0.655155403364794,"Abundance driven"
"bbs_rtrg_121_61","ratio_real",0.655155403364794,"Observed"
"bbs_rtrg_121_85","ratio_sim",0.720337645049959,"Abundance driven"
"bbs_rtrg_121_85","ratio_real",0.720337645049959,"Observed"
"bbs_rtrg_123_46","ratio_sim",0.819833380328793,"Abundance driven"
"bbs_rtrg_123_46","ratio_real",1.25229995559678,"Observed"
"bbs_rtrg_126_46","ratio_sim",0.81071013619264,"Abundance driven"
"bbs_rtrg_126_46","ratio_real",1.37429242725297,"Observed"
"bbs_rtrg_126_60","ratio_sim",0.470162818598798,"Abundance driven"
"bbs_rtrg_126_60","ratio_real",0.470162818598798,"Observed"
"bbs_rtrg_128_33","ratio_sim",0.520037961232206,"Abundance driven"
"bbs_rtrg_128_33","ratio_real",0.520037961232206,"Observed"
"bbs_rtrg_129_25","ratio_sim",0.536670742503145,"Abundance driven"
"bbs_rtrg_129_25","ratio_real",1.17603167765195,"Observed"
"bbs_rtrg_13_35","ratio_sim",0.812173517406266,"Abundance driven"
"bbs_rtrg_13_35","ratio_real",0.812173517406266,"Observed"
"bbs_rtrg_13_38","ratio_sim",0.604924877158964,"Abundance driven"
"bbs_rtrg_13_38","ratio_real",0.604924877158964,"Observed"
"bbs_rtrg_13_44","ratio_sim",0.891516384624408,"Abundance driven"
"bbs_rtrg_13_44","ratio_real",1.94941273198189,"Observed"
"bbs_rtrg_13_45","ratio_sim",0.662909106543306,"Abundance driven"
"bbs_rtrg_13_45","ratio_real",0.662909106543306,"Observed"
"bbs_rtrg_13_46","ratio_sim",0.646369705825547,"Abundance driven"
"bbs_rtrg_13_46","ratio_real",0.646369705825547,"Observed"
"bbs_rtrg_13_58","ratio_sim",1.36440243647026,"Abundance driven"
"bbs_rtrg_13_58","ratio_real",1.36440243647026,"Observed"
"bbs_rtrg_13_60","ratio_sim",1.99287512730689,"Abundance driven"
"bbs_rtrg_13_60","ratio_real",1.99287512730689,"Observed"
"bbs_rtrg_13_7","ratio_sim",0.684167577428906,"Abundance driven"
"bbs_rtrg_13_7","ratio_real",0.684167577428906,"Observed"
"bbs_rtrg_13_82","ratio_sim",0.778229137160458,"Abundance driven"
"bbs_rtrg_13_82","ratio_real",1.92673835830278,"Observed"
"bbs_rtrg_130_60","ratio_sim",0.626226698578869,"Abundance driven"
"bbs_rtrg_130_60","ratio_real",0.626226698578869,"Observed"
"bbs_rtrg_130_82","ratio_sim",2.75851696061738,"Abundance driven"
"bbs_rtrg_130_82","ratio_real",2.75851696061738,"Observed"
"bbs_rtrg_131_49","ratio_sim",0.628277220791667,"Abundance driven"
"bbs_rtrg_131_49","ratio_real",0.628277220791667,"Observed"
"bbs_rtrg_131_52","ratio_sim",0.722701315345111,"Abundance driven"
"bbs_rtrg_131_52","ratio_real",0.722701315345111,"Observed"
"bbs_rtrg_136_69","ratio_sim",0.61695313086726,"Abundance driven"
"bbs_rtrg_136_69","ratio_real",0.932826957568798,"Observed"
"bbs_rtrg_137_14","ratio_sim",0.703800218992377,"Abundance driven"
"bbs_rtrg_137_14","ratio_real",0.703800218992377,"Observed"
"bbs_rtrg_139_82","ratio_sim",0.498640393880401,"Abundance driven"
"bbs_rtrg_139_82","ratio_real",0.498640393880401,"Observed"
"bbs_rtrg_14_2","ratio_sim",1.59776283198558,"Abundance driven"
"bbs_rtrg_14_2","ratio_real",1.59776283198558,"Observed"
"bbs_rtrg_14_25","ratio_sim",1.18648947705151,"Abundance driven"
"bbs_rtrg_14_25","ratio_real",1.18648947705151,"Observed"
"bbs_rtrg_14_33","ratio_sim",2.95318756774502,"Abundance driven"
"bbs_rtrg_14_33","ratio_real",6.43555576933292,"Observed"
"bbs_rtrg_14_34","ratio_sim",0.797352133127205,"Abundance driven"
"bbs_rtrg_14_34","ratio_real",0.410571141935609,"Observed"
"bbs_rtrg_14_36","ratio_sim",0.320181379156825,"Abundance driven"
"bbs_rtrg_14_36","ratio_real",0.320181379156825,"Observed"
"bbs_rtrg_14_38","ratio_sim",0.792581776960731,"Abundance driven"
"bbs_rtrg_14_38","ratio_real",0.792581776960731,"Observed"
"bbs_rtrg_14_46","ratio_sim",0.595845527953067,"Abundance driven"
"bbs_rtrg_14_46","ratio_real",0.427688628622766,"Observed"
"bbs_rtrg_14_47","ratio_sim",1.5837946050196,"Abundance driven"
"bbs_rtrg_14_47","ratio_real",1.5837946050196,"Observed"
"bbs_rtrg_14_52","ratio_sim",1.68383243713443,"Abundance driven"
"bbs_rtrg_14_52","ratio_real",1.68383243713443,"Observed"
"bbs_rtrg_14_54","ratio_sim",3.06913048820333,"Abundance driven"
"bbs_rtrg_14_54","ratio_real",0.831748073064596,"Observed"
"bbs_rtrg_14_58","ratio_sim",1.719599009272,"Abundance driven"
"bbs_rtrg_14_58","ratio_real",1.719599009272,"Observed"
"bbs_rtrg_14_68","ratio_sim",0.479245587783364,"Abundance driven"
"bbs_rtrg_14_68","ratio_real",0.935756698666985,"Observed"
"bbs_rtrg_14_88","ratio_sim",0.774224786499101,"Abundance driven"
"bbs_rtrg_14_88","ratio_real",1.11551230118056,"Observed"
"bbs_rtrg_140_83","ratio_sim",1.41238796385547,"Abundance driven"
"bbs_rtrg_140_83","ratio_real",1.41238796385547,"Observed"
"bbs_rtrg_15_25","ratio_sim",0.482165446929896,"Abundance driven"
"bbs_rtrg_15_25","ratio_real",0.482165446929896,"Observed"
"bbs_rtrg_15_38","ratio_sim",0.579184186279589,"Abundance driven"
"bbs_rtrg_15_38","ratio_real",1.60689167849288,"Observed"
"bbs_rtrg_15_46","ratio_sim",0.57180642563609,"Abundance driven"
"bbs_rtrg_15_46","ratio_real",0.57180642563609,"Observed"
"bbs_rtrg_15_50","ratio_sim",0.730642651463171,"Abundance driven"
"bbs_rtrg_15_50","ratio_real",1.30666750091983,"Observed"
"bbs_rtrg_15_58","ratio_sim",0.720972726926262,"Abundance driven"
"bbs_rtrg_15_58","ratio_real",1.3469724082512,"Observed"
"bbs_rtrg_15_67","ratio_sim",1.2319660491099,"Abundance driven"
"bbs_rtrg_15_67","ratio_real",1.2319660491099,"Observed"
"bbs_rtrg_15_68","ratio_sim",0.584749896083686,"Abundance driven"
"bbs_rtrg_15_68","ratio_real",1.94085899989863,"Observed"
"bbs_rtrg_15_85","ratio_sim",0.727865119457987,"Abundance driven"
"bbs_rtrg_15_85","ratio_real",0.727865119457987,"Observed"
"bbs_rtrg_153_14","ratio_sim",0.53916641229863,"Abundance driven"
"bbs_rtrg_153_14","ratio_real",2.07104220641146,"Observed"
"bbs_rtrg_155_14","ratio_sim",0.847103230498781,"Abundance driven"
"bbs_rtrg_155_14","ratio_real",0.847103230498781,"Observed"
"bbs_rtrg_155_72","ratio_sim",0.826117512811732,"Abundance driven"
"bbs_rtrg_155_72","ratio_real",0.826117512811732,"Observed"
"bbs_rtrg_16_38","ratio_sim",1.81090969241444,"Abundance driven"
"bbs_rtrg_16_38","ratio_real",1.81090969241444,"Observed"
"bbs_rtrg_16_46","ratio_sim",0.523124866955566,"Abundance driven"
"bbs_rtrg_16_46","ratio_real",0.523124866955566,"Observed"
"bbs_rtrg_16_52","ratio_sim",0.7159759403354,"Abundance driven"
"bbs_rtrg_16_52","ratio_real",0.7159759403354,"Observed"
"bbs_rtrg_16_82","ratio_sim",1.35966490893571,"Abundance driven"
"bbs_rtrg_16_82","ratio_real",2.99717371961827,"Observed"
"bbs_rtrg_16_90","ratio_sim",0.726210211396268,"Abundance driven"
"bbs_rtrg_16_90","ratio_real",2.10295973507228,"Observed"
"bbs_rtrg_166_14","ratio_sim",1.80189959845486,"Abundance driven"
"bbs_rtrg_166_14","ratio_real",1.80189959845486,"Observed"
"bbs_rtrg_168_66","ratio_sim",0.847418815676401,"Abundance driven"
"bbs_rtrg_168_66","ratio_real",0.847418815676401,"Observed"
"bbs_rtrg_17_2","ratio_sim",0.800681587063771,"Abundance driven"
"bbs_rtrg_17_2","ratio_real",1.24900071378931,"Observed"
"bbs_rtrg_17_36","ratio_sim",0.671303053616449,"Abundance driven"
"bbs_rtrg_17_36","ratio_real",0.671303053616449,"Observed"
"bbs_rtrg_17_50","ratio_sim",0.557705951943715,"Abundance driven"
"bbs_rtrg_17_50","ratio_real",0.557705951943715,"Observed"
"bbs_rtrg_17_53","ratio_sim",0.45929026201684,"Abundance driven"
"bbs_rtrg_17_53","ratio_real",0.805174866743289,"Observed"
"bbs_rtrg_17_54","ratio_sim",0.703705794072318,"Abundance driven"
"bbs_rtrg_17_54","ratio_real",0.703705794072318,"Observed"
"bbs_rtrg_17_60","ratio_sim",1.36049722147776,"Abundance driven"
"bbs_rtrg_17_60","ratio_real",3.108283742485,"Observed"
"bbs_rtrg_17_67","ratio_sim",0.742832257664229,"Abundance driven"
"bbs_rtrg_17_67","ratio_real",1.45634237332083,"Observed"
"bbs_rtrg_17_91","ratio_sim",1.3135033819986,"Abundance driven"
"bbs_rtrg_17_91","ratio_real",1.3135033819986,"Observed"
"bbs_rtrg_18_25","ratio_sim",0.531321397542163,"Abundance driven"
"bbs_rtrg_18_25","ratio_real",0.531321397542163,"Observed"
"bbs_rtrg_18_42","ratio_sim",0.831255982167238,"Abundance driven"
"bbs_rtrg_18_42","ratio_real",0.831255982167238,"Observed"
"bbs_rtrg_18_58","ratio_sim",0.434100145910614,"Abundance driven"
"bbs_rtrg_18_58","ratio_real",0.434100145910614,"Observed"
"bbs_rtrg_18_60","ratio_sim",1.57706271078238,"Abundance driven"
"bbs_rtrg_18_60","ratio_real",1.57706271078238,"Observed"
"bbs_rtrg_182_72","ratio_sim",0.404628175988393,"Abundance driven"
"bbs_rtrg_182_72","ratio_real",0.404628175988393,"Observed"
"bbs_rtrg_186_14","ratio_sim",0.450523937708246,"Abundance driven"
"bbs_rtrg_186_14","ratio_real",0.813677148264308,"Observed"
"bbs_rtrg_188_14","ratio_sim",0.738432946853789,"Abundance driven"
"bbs_rtrg_188_14","ratio_real",0.738432946853789,"Observed"
"bbs_rtrg_19_44","ratio_sim",0.716795677374387,"Abundance driven"
"bbs_rtrg_19_44","ratio_real",0.716795677374387,"Observed"
"bbs_rtrg_19_47","ratio_sim",2.81833011341092,"Abundance driven"
"bbs_rtrg_19_47","ratio_real",2.81833011341092,"Observed"
"bbs_rtrg_19_53","ratio_sim",0.670567694613882,"Abundance driven"
"bbs_rtrg_19_53","ratio_real",0.670567694613882,"Observed"
"bbs_rtrg_19_58","ratio_sim",0.540819099315426,"Abundance driven"
"bbs_rtrg_19_58","ratio_real",0.540819099315426,"Observed"
